moiveId,query_title,title,plot
11,Seven (Se7en) (1995),Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...::Mark Fleetwood <mfleetwo@mail.coin.missouri.edu>
Taking place in a nameless city, Se7en follows the story of two homicide detectives tracking down a sadistic serial killer (Kevin Spacey) who chooses his victims according to the seven deadly sins. Brad Pitt stars as Detective David Mills, a hopeful but naive rookie who finds himself partnered with veteran Detective William Somerset (Morgan Freeman). Together they trace the killer's every step, witnessing the aftermath of his horrific crimes one by one as the victims pile up in rapid succession, all the while moving closer to a gruesome fate neither of them could have predicted.::David Foyer
Two police detectives - one, Somerset, about to retire and the other, Mills, just transferred into the precinct - investigate the murder of an obese man. On his wall was written the word ""Gluttony"". Then they are alerted to the murder of a lawyer. On his floor was written the word ""Greed"". Somerset suspects that the murders were the work of the same man, a man murdering people who have committed the seven deadly sins.::grantss
Two detectives, one about to leave and one entering find themselves following a series of murders, they find clues linking the deaths and the seven sins. The movie follows the cops, their family and tracking down the mass murderer who delivers an unforgettable ending.
This thriller portrays the exploits of a deranged serial killer. His twisted agenda involves choosing seven victims who represent egregious examples of transgressions of each of the Seven Deadly Sins. He then views himself as akin to the Sword of God, handing out horrific punishment to these sinners. Two cops, an experienced veteran of the streets (Morgan Freeman) who is about to retire and the ambitious young homicide detective (Brad Pitt) hired to replace him, team up to capture the perpetrator of these gruesome killings. Unfortunately, they too become ensnared in his diabolical plan....::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>"
12,"Usual Suspects, The (1995)",The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.
Following a truck hijack in New York, five criminals are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze?::Soumitra
After a number of people are killed and a cargo ship set on fire, Roger 'Verbal' Kint is questioned by U.S. Customs Agent Dave Kujan. Reluctant at first, Verbal begins to tell them what happened starting with when he met four men, all criminals, sharing a holding cell for a few hours. Together, they join forces to successfully hijack a jewel shipment and head to Los Angeles to lay low. There they are contacted by a lawyer, Kobayashi, representing the much-feared international criminal Keyser Söze who wants them to do a job for him. The result is the attack on the cargo ship. Verbal refuses to give evidence in the case and is set free. Only then does Kujan realize what's really happened.::garykmcd
Police investigating an exploded boat on a San Pedro pier discover 27 bodies and $91 million worth of drug money. The only survivors are a severely burned and very scared Hungarian terrorist and Verbal Kint, a crippled con-man. Reluctantly, Kint is pressured into explaining exactly what happened on the boat. His story begins six weeks earlier with five criminals being dragged in by New York police desperate for suspects on a hijacked truck and ends with the possible identification of a criminal mastermind.::John Weeks <J.T.Weeks1@Student.derby.ac.uk>
After a waterfront explosion, Verbal, an eye-witness and participant tells the story of events leading up to the conflagration. The story begins when five men are rounded up for a line-up, and grilled about a truck hijacking (the usual suspects). Least pleased is Keaton: a crooked cop - exposed, indicted, but now desperately trying to go straight. The cops won't leave him alone, however, and as they wait for their lawyers to post bail, he is talked into doing one more job with the other four. All goes tolerably well until the influence of the legendary, seemingly omnipotent ""Keyser Söze"" is felt. Although set in the modern day, it has much of the texture of the forties, plus suspense, intrigue (a fairly high body count), and lots of twists in the plot.::<Phil.Kilby@dit.csiro.au>
This is a film about five men who are hauled into the New York police station because a crime was committed and they are the usual suspects. They all agree to do a job together for a little revenge. However, little do they know that someone else has the strings and that they are all the puppets--all because each of them crossed the wrong person at the wrong time. After the big job, 27 people are dead, and there are two survivors. But the question is...who's the one controlling everything?::thexotherxchris"
13,Mighty Aphrodite (1995),Mighty Aphrodite,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.
Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother, Lenny is disappointed. Linda is a prostitute and porn star. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus.::Jason Ihle <jrihl@conncoll.edu>
Lenny and Amanda have an adopted son, Max, who turns out to be brilliant. Lenny becomes obsessed with finding Max's biological parents, believing that they too must be brilliant. When he discovers Max's biological mom, Linda Ash, Lenny is disappointed: Linda is a prostitute and porn actress. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the plot with the story of Oedipus.::edited by YamSuf
When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.::Jwelch5742
Married New Yorkers Lenny Weinrib and Amanda Sloan, a sports writer and an art gallery employee respectively, have a five year old son, Max Weinrib, who they adopted when he was one day old. They decided to adopt instead of have a baby of their own largely as it was less of a disruption in especially Amanda's life, she who arranged everything. Lenny believes they have hit a rough patch in their marriage as Amanda seems focused on making connections to open her own gallery, which means them networking with people who Lenny doesn't much like, such as her current boss Jerry Bender, who Lenny is certain wants to take Amanda away from him. The one bright light Lenny sees in their personal life is Max, who was recently tested as being in the genius category. As such, Lenny believes that Max's biological parents must have been remarkable people, Lenny and Amanda only knowing that the mother was a single woman. With the records sealed as to her identity, Lenny embarks on trying to find the mother, deep in his heart possibly to enter into a relationship with her seeing as to the state of his own marriage. Without telling Amanda, he is able to track down the mother, a dim but good-hearted porn star cum prostitute who generally goes by the name Linda Ash. She unrealistically has aspirations to make it on the legitimate stage. When Lenny eventually does meet Linda, he doesn't tell her that he and Amanda were the people who adopted her son, she believing he just another John. Unable to find any genes within Linda's family that would have produced someone the caliber of Max, Lenny proceeds to try and transform Linda into his vision of what Max's biological mother should be, meaning getting her into a respectable career to which she is suited, and finding her a nice guy so that they can start a family. As these stories have the potential to play out like a Greek tragedy, a Greek chorus is constantly present to comment on the proceedings and often give advice, which Lenny often ignores.::Huggo
Sportswriter Lenny Weinrib and his wife adopt a baby from an anonymous mother. A few years pass, and Lenny starts to wonder about the woman. Curiosity quickly gets the better of him, so he steals files from the adoption agency and sets out to find her. He is eager partly because he wants to reunite mother and son, but mostly because he is neurotically obsessed with Greek tragedy (Is the mom a knockout? Will ""Oedipus Rex"" relive itself, with Lenny as Oedipus' father?). Of course Lenny is dismayed, maybe even terrified, to find that Linda, the mother, is a beautiful $200-an-hour prostitute. So that he can fashion the proper mother-son reunion and save himself from what Fate seems to have in store, he determines to ""reform"" Linda.::Adam"
14,"Postino, Il (1994)",The Postman,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.
Pablo Neruda, the famous Chilean poet, is exiled to a small island for political reasons. On the island, the unemployed son of a poor fisherman is hired as an extra postman due to the huge increase in mail that this causes. Il Postino is to hand-deliver the celebrity's mail to him. Though poorly educated, the postman learns to love poetry and eventually befriends Neruda. Struggling to grow and express himself more fully, he suddenly falls in love and needs Neruda's help and guidance more than ever.::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>
Mario takes up the job of postman on a small Italian island. The island has a new resident, the famed exiled Chilean poet Pablo Neruda, and he is receiving heaps of mail (mostly from women, to Mario's fascination). Mario strikes up a friendship with Neruda, who helps the not-overly-literate Mario develop his writing skills and appreciate poetry and prose. Then Mario meets a beautiful woman in the village and his new-found poetic skills are put to the test.::grantss
The life of the fisherman Mario changes dramatically when the famous Chilean writer Pablo Neruda settles on his little Italian island. Living in exile becuase of his political beliefs, Neruda needs a postman to deliver the huge quantities of mail sent to him by his admirers and Mario takes the job since he hates fishing anyway. The two become friends and Neruda helps the shy and clumsy Mario to win the heart of Beatrice, the beautiful waitress at the village's inn, by showing him the beauty and power of poetry.::Robert Zeithammel"
15,Mr. Holland's Opus (1995),Mr. Holland's Opus,"A frustrated composer finds fulfillment as a high school music teacher.
Glenn Holland is a musician and composer who takes a teaching job to pay the rent while, in his 'spare time', he can strive to achieve his true goal - compose one memorable piece of music to leave his mark on the world. As Holland discovers 'Life is what happens to you while you're busy making other plans' and as the years unfold the joy of sharing his contagious passion for music with his students becomes his new definition of success.::<russell.boyd@dsto.defence.gov.au>
1965. Musician and composer Glenn Holland decides to switch gears in his career by taking a music teaching job at John F. Kennedy High School in order to have more free time to spend with his bride, Iris Holland, and compose, most specifically a symphony which has always been his dream to do. This career change is despite music rather than teaching being his passion, and having no experience in teaching beyond having a teaching certificate. He quickly learns that it is a job that he hates - largely because his students generally don't relate to music the way he does, and of where he and the music program fit within the pecking order of the school - but which he sticks with if only because of life circumstances. With some help most specifically from school principal Mrs. Jacobs, he understands he has to find the same passion that he has for music and translate that somehow into the way he relates to his work and to the students if he is to survive in this life. His teaching work over the years is seen at various specific stages, and against the backdrop of milestone events happening in the world. His job and dealing with students and the staff also affects his personal life, not only with Iris, but also with his son Cole (who is named after John Coltrane), who on the surface could not be more different than his father, and as such is someone to who Glenn has difficulties relating, and to that much wanted time to compose that symphony, which was the reason for taking the job in the first place.::Huggo
Glenn Holland is a professional musician who would like to spend more time composing so in 1965 he takes up teaching at a local high school. Little does he realize how little free time there will be as a teacher. Initially, he is frustrated at his inability to get through to his students but over time, he becomes quite competent at his profession and in fact has a number of successes. At home, he is devastated to learn that his infant son is deaf and struggles over the years to develop a relationship with him. When, after 30 years of teaching, the music program at his school is canceled he wonders what, if anything, he has really accomplished in his life. Friends and students, past and present, show him just what he has meant to them.::garykmcd"
16,French Twist (Gazon maudit) (1995),French Twist,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.
Undoubtedly, the smug real estate agent, family man, and father of one, Laurent, is a shameless philanderer. Under the nose of his beautiful but unhappy wife, Loli, the incurable womaniser never misses an opportunity to cheat on her, until one day, the cigarillo-smoking and very lesbian plumber, Marijo, sets foot in their house. Now, the stage looks set for the perfect revenge, and nothing can stand in the way of a woman scorned. Can Loli and Laurent survive the complications of having a stranger in their bedroom?::Nick Riganas
Laurent is the local estate agent, a job that offers easy opportunties for his womanising. His wife beautiful wife Loli looks after his home and two children unaware of his many affairs. However, their world is turned upside down by the arrival of Marijo, an itinerant lesbian whose minivan breaks down nearby. The neglected Loli is drawn to the sensitive Marijo and when she learns of Laurent's infidelities, invites Marijo to move in with them. The arrangement takes an emotional toll on each of them, exacerbated by the arrival of a figure from Marijo's past. As they struggle with the situation and each other, all of their lives are changed forever.::Peter Coles"
17,From Dusk Till Dawn (1996),From Dusk Till Dawn,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.
After a bank heist in Abilene with several casualties, the bank robber Seth Gecko and his psychopath and rapist brother Richard Gecko continue their crime spree in a convenience store in the middle of the desert while heading to Mexico with a hostage. They decide to stop for a while in a low-budget motel. Meanwhile the former minister Jacob Fuller is traveling on vacation with his son Scott and his daughter Kate in a RV. Jacob lost his faith after the death of his beloved wife in a car accident and quit his position of pastor of his community and stops for the night in the same motel Seth and Richard are lodged. When Seth sees the recreational vehicle, he abducts Jacob and his family to help his brother and him to cross the Mexico border, promising to release them on the next morning. They head to the truck drivers and bikers bar Titty Twister where Seth will meet with his partner Carlos in the dawn. When they are watching the dancer Santanico Pandemonium, Seth and Richard fight with three bodyguards. But soon they discover that the bar is a coven of vampires and they need to fight until dawn to leave the place alive.::Claudio Carvalho, Rio de Janeiro, Brazil
After a bank heist, brothers Richie and Seth Gecko plan to head to Mexico to evade arrest. At a motel, Richie kills their hostage and their journey hits a hard spot, but, just when things could have gotten worse, the Fuller family shows up. Seth takes them hostage and the five successfully cross the border. The five pull to a bar called ""The Titty Twister"", where Seth will meet his handler in the morning. When moon strikes, the stripper and workers turn into vampires and the survivors must soon fight for their lives.::Movieguy45
Seth Gecko and his younger brother Richard are on the lam after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>
The Gecko brothers are fugitives, and are on the run after a very interesting bank robbery. They kidnap the Fuller family, and drive to a Mexican bar to meet with other on-the-run criminals. It turns out the crooks in the bar are vampires, and if the Gecko brothers and the Fuller family can survive from dusk until dawn, the ""crooks"" will let em' go.::neo101
Two fugitive brothers at gunpoint get an ex-minister and his two children to take them accross the border into Mexico. They drive to a Mexican biker bar to rendevous with other crooks. While at the bar, a few unusual things happen.::George Alexeief <georgeal@ix.netcom.com>"
18,"White Balloon, The (1995)",The White Balloon,"Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.
Razieh wants a fat goldfish for the Iranian New Years celebration instead of the skinny ones in her family's pond at home, because the fat fish looks like it's dancing when it swims. After many attempts she and her brother convince their mother to give them her last bit of money. Between their home and the fish store, Razieh loses the money.. She finds it, but it is temptingly just out of her reach.::Rudi Sahebi <rsahebi@voyager.com>"
19,Antonia's Line (1995),Antonia's Line,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.
In an anonymous Dutch village, a sturdy, strong-willed matriarch looks back upon her life, the generations of family and friends gathered around her table, and ponders the cyclical nature of time.::Dawn M. Barclift"
20,Angels and Insects (1995),Angels and Insects,"In the 1800s a naturalist marries into a family of British country gentry.
The movie is a study of a family of country gentry in Victorian England. William Adamson (Mark Rylance), a young scientist, is introduced into the Alabaster family by Sir Harald Alabaster (Jeremy Kemp) who is also fascinated by insects. William marries the elder daughter of the family and studies the amounts of insects in the garden of the villa. His - for the gentry - strange behaviors reveal at the same time their own failures and passions.::Volker Boehm
Taken in the countryside manor of his grand benefactor, the Victorian aristocrat Sir Harald Alabaster (Jeremy Kemp), the penniless but brilliant entomologist, William Adamson (Mark Rylance), accepts an assistant position to catalogue his wealthy patron's specimen collection. However, as a fervent romance with the patriarch's alluring oldest daughter, Eugenia (Patsy Kensit), will soon lead to marriage, little by little, William will become enmeshed in the microcosm of the Alabasters, as he discovers the family's uncomfortable and well-hidden secret. Will the scientist ever become one of them?::Nick Riganas"
21,Muppet Treasure Island (1996),Muppet Treasure Island,"The Muppets' twist on the classic tale.
The Muppets are back into action in another movie based on a novel written by Robert Louis Stevenson. Kermit the Frog and his colleagues go on a warfare against ruthless pirates. They also share their problem-solving journey on sea to rescue a treasure.::Anonymous
The Muppets are back in action as they sail the high seas in their own twist of the classic tale by Robert Louis Stevenson. Having heard the legend of Captain Flint's massive treasure, young cabin boy Jim Hawkins (Kevin Bishop), along with The Great Gonzo (Dave Goelz) and Rizzo the Rat (Steve Whitmire) set out on a frantic search for it on a mysterious island. Accompanied by Squire Trelawney (Fozzie Bear) (Frank Oz) and Captain Smollett (Kermit the Frog) (Steve Whitmire), Jim and his friends finally get their own taste of adventure. But they soon uncover a sinister plot by a band of villainous pirates who seek the treasure for their own led by the ship's devious cook Long John Silver (Tim Curry). Once on the island, they find it is full of danger including an inhabitant named Benjamina Gunn (Miss Piggy) (Frank Oz).::Blazer346
After telling the story of Flint's last journey to young Jim Hawkins (Kevin Bishop), Billy Bones (Sir Billy Connolly) has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they convince Squire Trelawney (Fozzie Bear) (Frank Oz) to hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on-board can be trusted.::FilmFanUk"
22,Braveheart (1995),Braveheart,"Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce.::Anonymous
Tells the story of the legendary thirteenth century Scottish hero named William Wallace. Wallace rallies the Scottish against the English monarch and Edward I after he suffers a personal tragedy by English soldiers. Wallace gathers a group of amateur warriors that is stronger than any English army.::Jwelch5742
Around the end of the 1200s, oppressed by King Edward ""Longshanks"" who rules England with an iron fist, the noble and charismatic Scot of humble descent, William Wallace, leads a righteous campaign to end tyranny. In this gallant quest for freedom, the gifted strategist and mighty warrior will amass the hordes of the oppressed Scotsmen who thirst to reclaim their independence, however, the road to liberty is always drenched in blood.::Nick Riganas
In 14th Century Scotland, William Wallace leads his people in a rebellion against the tyranny of the English King, who has given English nobility the 'Prima Nocta' - a right to take all new brides for the first night. The Scots are none too pleased with the brutal English invaders, but they lack leadership to fight back. Wallace creates a legend of himself, with his courageous defense of his people and attacks on the English.::Rob Hartill"
